year,electricity_price,renewable_share,annual_cdd,disposable_income,utility_share_pct,lowest_consumption,utility_expense_est,energy_burden_ratio
1951,0.1584,,,,,,,
1952,0.1551,,,,,,,
1953,0.1908,,,,,,,
1954,0.1902,,,,,,,
1955,0.2533,,,,,,,
1956,0.2788,,,,,,,
1957,0.3,,,,,,,
1958,0.3234,,,,,,,
1959,0.3158,,,,,,,
1960,0.4104,,,,,,,
1961,0.4321,,,,,,,
1962,0.4551,,,,,,,
1963,0.4807,,,,,,,
1964,0.495,,,,,,,
1965,0.5046,,,,,,,
1966,0.4957,,,,,,,
1967,0.4946,,,,,,,
1968,0.5,,,,,,,
1969,0.5368,,,,,,,
1970,0.5647,,,,,,,
1971,0.5673,,,,,,,
1972,0.5637,,,,,,,
1973,0.5758,,,,,,,
1974,1.0314,,,,,,,
1975,1.0692,,,,,,,
1976,1.0563,,,51754.0,22.55,48467.0,10929.308500000001,0.21117804420914327
1977,1.2773,,,58596.0,22.62,52801.0,11943.5862,0.2038293774319066
1978,1.273,,,69221.0,22.56,62439.0,14086.2384,0.20349660363184582
1979,1.4179,,,81390.0,22.89,75063.0,17181.9207,0.21110604128271285
1980,2.0595,,,102772.0,23.61,93207.0,22006.1727,0.21412615011870936
1981,2.7383,,,117224.0,24.09,105282.0,25362.4338,0.21635871323278508
1982,2.7555,,,119603.0,24.22,110135.0,26674.697,0.22302698928956632
1983,2.6866,,,127440.0,24.03,119019.0,28600.2657,0.22442141949152541
1984,2.6526,,,133434.0,23.22,126944.0,29476.3968,0.220906191825172
1985,2.6042,,,134105.0,23.45,126996.0,29780.561999999998,0.22206899071622982
1986,2.3958,,,141750.0,23.22,132570.0,30782.753999999997,0.2171622857142857
1987,2.3003,,,148553.0,23.0,134948.0,31038.04,0.2089358006906626
1988,2.094,,,161874.0,23.18,148715.0,34472.137,0.2129566020485069
1989,2.1547,,,179029.0,23.82,163638.0,38978.571599999996,0.21772210982578238
1990,2.1636,,,193685.0,24.67,177935.0,43896.56450000001,0.2266389472597259
1991,2.1629,,,227816.0,25.55,202205.0,51663.3775,0.2267767737999087
1992,2.1847,,,235752.0,26.24,211622.0,55529.612799999995,0.2355424887169568
1993,2.1943,,,259380.0,25.65,238753.0,61240.1445,0.23610202984038864
1994,2.1851,,,280259.0,25.78,255078.0,65759.10840000001,0.23463691942096424
1995,2.1859,,,296166.0,25.13,270859.0,68066.86669999998,0.2298267414220403
1996,2.1905,,,298443.0,25.61,285227.0,73046.6347,0.24475908196875112
1997,2.1575,,,312458.0,25.46,292464.0,74461.33439999999,0.2383082987153473
1998,2.1605,,,310865.0,25.61,288889.0,73984.4729,0.23799550576616857
1999,2.1071,,,317001.0,25.33,290266.0,73524.37779999999,0.23193736865183387
2000,2.1133,,,315172.0,25.61,300440.0,76942.684,0.2441291866028708
2001,2.1221,,,279404.0,25.07,283920.0,71178.74399999999,0.25475205795192624
2002,2.0945,,,292113.0,24.23,302415.0,73275.1545,0.25084523626130983
2003,2.0682,,,296297.0,24.38,294645.0,71834.451,0.24244069632834622
2004,2.052,,,297305.0,23.52,295476.0,69495.9552,0.23375306570693394
2005,2.0533,,,297694.0,23.76,299642.0,71194.93920000001,0.23915476697548493
2006,2.1046,,,304274.0,23.66,304091.0,71947.9306,0.23645770128239682
2007,2.1484,3.4242,385.2,312145.0,23.89,313309.0,74849.5201,0.23979086674462188
2008,2.301,3.4657,387.6,303517.0,24.2,309419.0,74879.398,0.24670577924794987
2009,2.607,3.3948,421.7,282260.0,24.25,312957.0,75892.0725,0.26887292744278324
2010,2.6098,3.497,417.29999999999995,288553.0,24.52,309078.0,75785.9256,0.2626412672888516
2011,2.6001,3.5639,400.0,296352.0,24.33,325660.0,79233.078,0.2673613743116294
2012,2.7222,4.2587,391.8,301362.0,24.3,327157.0,79499.151,0.2637995201783901
2013,2.8945,4.3029,418.7,309459.0,24.22,331391.0,80262.9002,0.2593652154243373
2014,3.0705,3.8178,475.5,317144.0,24.41,336429.0,82122.3189,0.25894331565471834
2015,2.9331,4.0593,443.1,320312.0,24.59,339536.0,83491.9024,0.260658053397937
2016,2.6159,4.821,527.8,329400.0,24.18,347785.0,84094.413,0.2552957285974499
2017,2.5454,4.5768,534.1,338278.0,23.86,356629.0,85091.67940000001,0.2515436398465168
2018,2.6008,4.5775,481.2,344948.0,23.91,363158.0,86831.0778,0.2517222242193026
2019,2.619,5.5496,470.5,350189.0,23.58,368379.0,86863.76819999999,0.24804824880278933
2020,2.5986,5.4819,546.1,354959.0,24.27,372529.0,90412.7883,0.25471332829988813
2021,2.5885,6.1464,556.3,358594.0,24.55,376058.0,92322.239,0.257456173276742
2022,2.7246,8.3599,435.1,364876.0,24.6,382209.0,94023.414,0.25768593714028876
2023,3.0727,9.6981,476.79999999999995,375828.0,24.04,392454.0,94345.9416,0.25103489255723366
2024,3.4826,11.7936,497.4,383927.0,23.96,402142.0,96353.22320000001,0.25096756206257964
2025,3.8958,13.3229,585.8,,,,,
2026,,,231.20000000000002,,,,,
