year,electricity_price,renewable_share,annual_cdd,disposable_income
1951,0.1584,,,
1952,0.1551,,,
1953,0.1908,,,
1954,0.1902,,,
1955,0.2533,,,
1956,0.2788,,,
1957,0.3,,,
1958,0.3234,,,
1959,0.3158,,,
1960,0.4104,,,
1961,0.4321,,,
1962,0.4551,,,
1963,0.4807,,,
1964,0.495,,,
1965,0.5046,,,
1966,0.4957,,,
1967,0.4946,,,
1968,0.5,,,
1969,0.5368,,,
1970,0.5647,,,
1971,0.5673,,,
1972,0.5637,,,
1973,0.5758,,,
1974,1.0314,,,
1975,1.0692,,,
1976,1.0563,,,51754.0
1977,1.2773,,,58596.0
1978,1.273,,,69221.0
1979,1.4179,,,81390.0
1980,2.0595,,,102772.0
1981,2.7383,,,117224.0
1982,2.7555,,,119603.0
1983,2.6866,,,127440.0
1984,2.6526,,,133434.0
1985,2.6042,,,134105.0
1986,2.3958,,,141750.0
1987,2.3003,,,148553.0
1988,2.094,,,161874.0
1989,2.1547,,,179029.0
1990,2.1636,,,193685.0
1991,2.1629,,,227816.0
1992,2.1847,,,235752.0
1993,2.1943,,,259380.0
1994,2.1851,,,280259.0
1995,2.1859,,,296166.0
1996,2.1905,,,298443.0
1997,2.1575,,,312458.0
1998,2.1605,,,310865.0
1999,2.1071,,,317001.0
2000,2.1133,,,315172.0
2001,2.1221,,,279404.0
2002,2.0945,,,292113.0
2003,2.0682,,,296297.0
2004,2.052,,,297305.0
2005,2.0533,,,297694.0
2006,2.1046,,,304274.0
2007,2.1484,3.4242,,312145.0
2008,2.301,3.4657,,303517.0
2009,2.607,3.3948,,282260.0
2010,2.6098,3.497,,288553.0
2011,2.6001,3.5639,,296352.0
2012,2.7222,4.2587,,301362.0
2013,2.8945,4.3029,,309459.0
2014,3.0705,3.8178,,317144.0
2015,2.9331,4.0593,,320312.0
2016,2.6159,4.821,,329400.0
2017,2.5454,4.5768,,338278.0
2018,2.6008,4.5775,,344948.0
2019,2.619,5.5496,,350189.0
2020,2.5986,5.4819,,354959.0
2021,2.5885,6.1464,,358594.0
2022,2.7246,8.3599,435.1,364876.0
2023,3.0727,9.6981,476.79999999999995,375828.0
2024,3.4826,11.7936,497.4,383927.0
2025,3.8958,13.3229,585.8,
2026,,,231.20000000000002,
