日/月,1,2,3,4,5,6,7,8,9,10,11,12
01,16.9,16.7,22.7,16.4,18.9,29.0,30.2,30.0,28.0,29.8,20.9,17.9
02,16.9,17.3,20.1,14.6,16.0,29.5,28.2,27.4,26.6,30.1,21.9,19.0
03,18.6,16.2,21.5,15.4,19.8,28.9,29.5,29.5,27.3,30.4,23.4,21.8
04,18.0,14.8,22.1,19.2,22.5,28.8,28.4,29.3,27.2,29.4,21.4,21.8
05,19.3,13.8,21.0,22.1,24.4,30.6,27.6,30.0,29.5,26.7,19.9,19.2
06,16.8,14.5,19.0,21.8,24.5,27.8,29.4,31.1,27.2,25.5,20.9,17.6
07,16.1,17.7,15.2,21.4,25.1,22.9,29.2,31.1,27.7,25.2,22.7,19.1
08,16.5,15.9,16.5,22.2,25.1,22.2,30.4,31.1,27.5,23.7,22.8,18.7
09,17.6,16.7,20.3,24.2,24.8,25.1,31.0,31.2,27.1,23.7,26.1,18.7
10,17.4,17.4,21.6,25.8,25.7,26.6,31.6,30.9,26.7,21.2,25.9,19.5
11,13.8,20.7,21.4,26.4,24.8,26.3,31.6,30.8,25.7,21.2,26.1,17.1
12,13.3,18.7,24.2,26.8,25.2,24.7,31.3,30.5,26.0,22.1,25.7,16.4
13,14.0,18.6,24.0,26.5,25.3,28.8,30.8,30.9,26.0,23.1,24.6,15.7
14,15.3,15.3,23.9,22.1,21.9,29.4,31.2,31.1,27.4,23.7,24.2,14.7
15,16.9,16.8,23.9,19.4,19.6,26.1,31.7,30.9,27.5,24.3,25.5,16.6
16,18.3,16.9,25.3,19.1,17.7,26.2,32.6,30.3,27.9,25.5,23.3,18.7
17,17.0,17.2,24.7,18.5,20.3,28.2,32.4,30.8,27.9,23.1,24.3,13.9
18,16.0,16.8,20.8,19.8,23.8,29.9,31.1,30.2,27.9,19.2,25.1,10.6
19,16.6,15.9,21.6,17.3,24.8,29.4,29.7,30.3,27.8,21.2,25.1,14.8
20,16.9,11.0,24.0,19.4,24.2,30.1,29.4,30.9,26.4,22.9,24.6,19.4
21,17.0,13.2,22.4,22.2,23.1,29.2,31.7,31.7,25.9,24.4,24.3,15.8
22,18.7,15.1,18.5,25.7,22.6,30.1,32.6,32.1,26.2,26.0,25.8,14.3
23,19.2,13.3,15.6,26.5,23.7,29.3,33.1,31.8,26.0,22.8,22.2,12.1
24,17.6,13.2,19.1,26.7,23.0,27.4,32.7,31.6,24.6,22.4,20.8,11.7
25,18.8,16.7,23.4,26.6,22.9,27.3,32.0,29.1,25.3,22.1,22.1,12.2
26,21.2,18.5,22.9,28.6,23.4,29.2,30.9,30.9,28.3,23.9,21.8,15.1
27,21.2,18.9,16.5,27.2,22.5,29.0,31.3,31.0,28.9,24.7,24.3,16.5
28,18.9,21.4,16.4,27.0,25.5,29.8,30.7,29.9,29.6,23.8,25.5,16.9
29,16.9,--,21.6,25.1,28.6,29.9,30.5,30.5,30.0,22.6,26.5,16.4
30,14.2,--,23.5,21.1,29.1,30.7,29.7,30.8,29.6,23.0,19.6,16.5
31,15.8,--,21.2,--,26.3,--,31.3,30.5,--,22.3,--,16.1
平均,17.2,16.4,21.1,22.5,23.4,28.1,30.8,30.6,27.3,24.2,23.6,16.6
01,19.3,17.6,18.6,18.7,22.2,27.0,28.6,27.4,28.9,27.9,25.1,16.9
02,18.5,17.5,16.7,20.8,26.6,29.3,28.6,28.5,28.7,26.6,26.7,17.7
03,16.1,17.5,17.2,22.9,28.0,29.1,30.0,28.7,27.9,25.2,26.1,19.2
04,16.3,17.6,17.5,24.4,28.3,27.8,31.3,31.3,28.3,26.4,26.9,19.6
05,19.3,18.4,17.1,24.0,29.4,28.6,32.4,30.7,29.8,26.9,27.0,19.2
06,18.2,17.6,18.9,23.4,29.1,29.8,32.5,32.3,27.7,27.5,25.9,18.5
07,18.0,18.8,20.5,17.6,24.0,29.5,32.9,32.3,27.3,27.3,23.2,19.2
08,20.4,19.4,20.3,18.0,19.9,30.3,32.9,31.3,27.1,25.5,25.8,21.3
09,20.3,18.5,20.0,19.7,20.7,28.3,31.9,32.0,27.5,25.2,26.9,22.0
10,19.8,18.2,21.6,22.7,22.4,26.9,31.8,29.2,27.6,24.5,25.2,24.1
11,20.7,19.9,23.0,24.4,24.3,26.3,29.7,27.5,28.2,24.3,22.4,25.6
12,21.5,20.8,20.8,23.5,24.7,26.6,29.7,28.8,28.9,25.5,21.1,20.9
13,23.2,20.8,14.7,25.8,22.6,27.8,30.8,29.9,29.2,25.2,18.3,20.8
14,23.7,13.9,18.8,25.8,23.3,27.6,31.5,31.2,29.1,24.2,19.2,23.8
15,15.7,12.8,20.7,22.8,25.1,25.2,31.8,32.1,28.9,24.4,20.9,24.1
16,12.8,15.9,22.3,24.8,26.9,26.4,31.8,28.4,29.4,25.2,20.8,16.5
17,15.2,19.0,22.3,26.1,28.3,27.3,31.2,27.9,29.3,25.2,16.8,13.6
18,14.3,20.6,18.4,27.1,29.9,29.9,29.3,27.8,29.2,27.4,16.3,19.5
19,17.0,17.2,20.1,25.5,24.1,30.2,29.4,28.8,30.0,28.0,18.7,18.5
20,16.2,15.3,21.5,22.9,24.3,31.6,29.1,27.5,30.0,25.0,21.0,16.0
21,17.5,14.1,24.0,21.2,27.0,31.5,30.1,29.1,29.7,21.9,23.0,12.1
22,18.5,16.3,26.4,20.8,28.0,30.5,28.8,28.7,30.1,23.7,23.6,11.5
23,18.4,18.8,25.1,22.5,21.5,28.1,29.4,28.7,30.2,25.8,22.5,15.0
24,11.7,17.3,22.1,21.2,23.7,28.4,30.7,29.5,30.6,26.5,20.4,14.5
25,11.4,14.2,19.7,20.0,25.2,29.8,31.0,30.2,29.9,26.3,20.0,14.8
26,15.6,13.7,17.0,18.8,28.1,30.3,28.5,31.0,29.7,26.4,20.1,19.1
27,12.6,17.4,17.1,22.2,28.0,30.4,29.4,29.4,28.5,24.0,21.5,20.2
28,10.1,20.2,18.0,25.1,28.9,30.5,29.2,30.1,29.7,22.0,22.1,19.4
29,13.5,--,20.7,26.0,29.3,30.3,29.9,30.8,29.0,22.9,23.5,19.7
30,14.7,--,19.1,20.3,28.3,28.4,29.0,30.4,29.0,24.2,20.1,20.0
31,16.5,--,18.6,--,27.1,--,29.2,29.4,--,23.9,--,18.7
平均,17.0,17.5,20.0,22.6,25.8,28.8,30.4,29.7,29.0,25.3,22.4,18.8
01,17.3,22.4,12.3,23.7,23.8,27.5,29.5,30.7,31.6,29.7,25.1,20.1
02,19.4,20.1,11.9,26.6,21.5,23.2,28.8,32.1,31.7,26.2,23.1,22.3
03,15.7,19.9,14.3,28.1,23.3,22.5,30.0,32.2,30.7,24.1,24.3,22.5
04,16.3,20.1,18.3,25.3,26.6,25.2,30.8,31.8,31.6,25.2,24.9,21.2
05,17.8,16.7,23.1,20.6,27.2,24.5,31.3,31.1,32.1,27.0,22.9,20.6
06,18.3,16.1,17.7,21.5,27.7,23.4,30.4,30.0,32.4,28.9,21.2,21.0
07,17.9,15.7,14.1,21.9,26.2,25.8,30.1,30.4,29.6,26.8,20.6,19.9
08,18.9,13.6,14.5,22.3,25.4,27.4,28.5,30.1,29.3,24.2,22.1,16.2
09,18.6,12.4,14.2,19.0,23.2,27.6,28.4,29.5,30.3,23.9,24.1,18.1
10,16.2,14.1,17.3,21.6,26.9,29.5,28.1,28.9,29.5,24.0,24.0,19.0
11,15.0,15.5,17.2,24.4,27.2,30.9,29.6,29.7,30.8,24.5,23.6,19.6
12,16.6,18.5,18.3,25.6,27.8,31.4,30.9,29.6,30.4,25.8,24.0,18.3
13,18.4,18.6,18.7,26.1,19.5,31.5,30.2,29.8,30.3,28.1,25.4,17.8
14,20.6,19.4,20.0,26.3,21.0,30.3,31.2,27.7,26.6,28.9,28.0,14.0
15,16.9,20.4,19.1,27.9,22.9,30.8,31.6,27.0,29.2,28.0,27.6,14.5
16,17.4,16.0,20.4,27.3,23.0,29.0,31.1,28.9,30.5,26.6,25.3,15.3
17,21.1,18.9,21.8,27.4,25.7,29.7,31.3,29.2,31.0,27.5,23.7,17.1
18,20.4,21.4,17.9,23.3,26.3,28.7,31.7,29.5,28.5,28.9,20.1,15.7
19,21.1,24.2,15.4,25.1,27.2,28.8,31.8,28.8,28.3,27.8,19.5,13.5
20,20.2,24.8,16.6,26.4,26.3,30.2,32.0,28.3,29.7,24.4,20.7,15.5
21,15.4,24.6,19.2,26.7,26.1,29.8,31.9,29.0,27.2,25.9,19.7,15.8
22,13.5,20.4,21.8,26.5,25.1,30.6,32.3,30.7,26.2,25.6,19.6,14.1
23,9.0,15.5,24.1,26.8,24.8,29.2,29.9,28.6,26.9,22.4,20.2,16.2
24,10.9,16.0,25.8,21.3,25.6,28.4,28.2,29.6,28.2,22.6,21.2,16.6
25,11.7,13.4,26.1,23.5,27.3,28.5,27.6,29.9,28.4,27.1,24.6,19.9
26,13.3,13.1,20.2,23.9,27.2,29.3,27.1,30.0,28.0,29.1,19.4,18.2
27,14.0,14.2,20.4,25.3,27.3,30.9,29.0,31.7,27.3,28.3,18.2,17.0
28,13.7,17.4,24.8,26.4,23.7,29.2,30.6,30.5,27.5,24.4,17.3,13.9
29,18.7,17.7,24.1,28.9,24.0,29.4,30.6,28.9,27.8,23.2,16.5,16.2
30,18.5,--,24.0,27.7,28.4,30.5,29.6,30.1,27.8,23.3,18.6,17.7
31,20.9,--,23.5,--,28.9,--,29.0,30.9,--,26.3,--,16.4
平均,16.9,18.0,19.3,24.9,25.4,28.5,30.1,29.8,29.3,26.1,22.2,17.6
01,16.5,19.1,22.6,14.1,25.3,28.9,32.1,29.6,29.5,30.0,22.8,22.4
02,17.3,16.8,23.8,16.1,26.3,31.0,31.9,29.1,28.2,30.2,20.9,22.8
03,16.7,13.6,23.5,19.4,27.2,26.4,31.6,30.3,29.0,30.5,20.3,18.7
04,17.9,12.5,21.1,22.0,25.8,23.6,32.1,30.4,28.9,31.0,21.7,18.6
