"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","22.6","17.1","16.4","15.1","25.5","30.1","28.7","30.0","27.6","31.5","23.7","19.2"
"02","21.4","15.6","14.5","17.2","25.9","25.5","29.5","28.7","26.4","31.4","25.6","19.4"
"03","20.7","19.8","16.9","19.9","25.4","24.6","28.9","29.5","25.7","29.8","22.9","20.4"
"04","23.2","19.7","18.3","22.0","27.4","25.2","28.7","29.3","28.3","26.5","19.7","20.0"
"05","22.4","19.2","20.5","23.4","27.2","27.8","29.8","31.6","30.4","28.0","20.7","16.9"
"06","22.2","17.9","16.0","23.5","24.2","29.2","30.3","32.7","31.9","28.2","25.7","16.5"
"07","22.6","17.9","14.0","24.0","23.8","30.1","28.5","33.2","30.8","26.9","27.5","17.3"
"08","20.2","17.9","14.0","25.7","26.7","29.3","28.3","32.6","29.5","27.9","23.7","15.1"
"09","17.7","11.7","16.0","26.5","25.7","30.0","28.3","32.7","29.3","30.3","23.5","15.2"
"10","18.7","11.9","17.4","28.8","28.2","29.1","29.1","32.5","29.8","30.1","27.0","17.3"
"11","19.5","12.4","19.7","20.8","28.6","28.4","29.4","32.1","30.4","28.6","22.2","18.1"
"12","20.0","14.4","21.8","17.7","27.0","27.5","30.4","32.1","30.2","25.6","21.6","17.0"
"13","15.7","16.3","18.3","19.3","25.0","27.8","31.0","31.8","27.0","24.9","22.8","17.4"
"14","13.7","16.9","14.2","21.2","26.2","25.1","30.7","32.3","26.9","26.2","23.0","19.1"
"15","14.0","19.8","16.1","24.1","26.0","22.6","31.0","32.2","29.9","26.1","23.5","21.1"
"16","15.1","19.4","16.2","25.4","21.2","24.0","31.4","31.6","29.6","28.2","25.5","17.5"
"17","19.2","20.8","18.1","27.2","23.2","23.5","30.8","31.0","27.5","26.4","26.2","13.5"
"18","20.2","19.8","19.9","26.4","25.8","24.1","31.5","31.8","27.2","25.3","21.5","14.7"
"19","19.3","21.5","19.5","25.5","24.7","26.6","31.6","30.7","29.8","24.2","17.6","14.4"
"20","14.3","20.6","21.8","25.9","25.2","29.0","32.0","31.4","31.0","23.0","18.9","16.4"
"21","14.3","19.5","18.7","24.9","25.0","29.5","31.9","30.2","30.9","21.9","21.2","16.6"
"22","14.9","19.6","20.9","17.7","26.4","29.6","31.5","30.8","30.7","21.9","20.0","20.0"
"23","14.7","15.7","18.9","20.0","27.9","30.1","31.4","30.4","32.1","21.9","17.3","21.5"
"24","14.5","13.1","21.1","21.4","27.0","30.5","31.3","30.0","31.4","22.1","18.3","19.3"
"25","15.4","14.2","16.6","23.9","22.8","30.6","31.5","31.0","30.7","23.0","18.5","17.1"
"26","16.4","13.3","14.4","23.9","23.7","31.0","30.7","31.6","31.6","23.1","20.5","18.6"
"27","18.5","15.3","19.1","17.6","22.7","30.4","30.5","30.3","32.0","23.0","21.6","18.8"
"28","20.3","14.7","22.2","19.4","23.7","30.3","30.9","30.4","30.7","22.0","26.0","20.7"
"29","20.7","--","21.5","21.2","26.3","30.2","28.4","30.9","28.7","22.3","25.7","19.5"
"30","17.5","--","22.8","23.9","27.0","29.1","31.1","30.3","29.9","20.4","22.4","18.2"
"31","16.1","--","18.8","--","28.6","--","28.8","29.9","--","21.4","--","16.0"
"平均","18.3","17.0","18.2","22.5","25.6","28.0","30.3","31.1","29.6","25.6","22.5","17.8"
