"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","19.3","17.6","18.6","18.7","22.2","27.0","28.6","27.4","28.9","27.9","25.1","16.9"
"02","18.5","17.5","16.7","20.8","26.6","29.3","28.6","28.5","28.7","26.6","26.7","17.7"
"03","16.1","17.5","17.2","22.9","28.0","29.1","30.0","28.7","27.9","25.2","26.1","19.2"
"04","16.3","17.6","17.5","24.4","28.3","27.8","31.3","31.3","28.3","26.4","26.9","19.6"
"05","19.3","18.4","17.1","24.0","29.4","28.6","32.4","30.7","29.8","26.9","27.0","19.2"
"06","18.2","17.6","18.9","23.4","29.1","29.8","32.5","32.3","27.7","27.5","25.9","18.5"
"07","18.0","18.8","20.5","17.6","24.0","29.5","32.9","32.3","27.3","27.3","23.2","19.2"
"08","20.4","19.4","20.3","18.0","19.9","30.3","32.9","31.3","27.1","25.5","25.8","21.3"
"09","20.3","18.5","20.0","19.7","20.7","28.3","31.9","32.0","27.5","25.2","26.9","22.0"
"10","19.8","18.2","21.6","22.7","22.4","26.9","31.8","29.2","27.6","24.5","25.2","24.1"
"11","20.7","19.9","23.0","24.4","24.3","26.3","29.7","27.5","28.2","24.3","22.4","25.6"
"12","21.5","20.8","20.8","23.5","24.7","26.6","29.7","28.8","28.9","25.5","21.1","20.9"
"13","23.2","20.8","14.7","25.8","22.6","27.8","30.8","29.9","29.2","25.2","18.3","20.8"
"14","23.7","13.9","18.8","25.8","23.3","27.6","31.5","31.2","29.1","24.2","19.2","23.8"
"15","15.7","12.8","20.7","22.8","25.1","25.2","31.8","32.1","28.9","24.4","20.9","24.1"
"16","12.8","15.9","22.3","24.8","26.9","26.4","31.8","28.4","29.4","25.2","20.8","16.5"
"17","15.2","19.0","22.3","26.1","28.3","27.3","31.2","27.9","29.3","25.2","16.8","13.6"
"18","14.3","20.6","18.4","27.1","29.9","29.9","29.3","27.8","29.2","27.4","16.3","19.5"
"19","17.0","17.2","20.1","25.5","24.1","30.2","29.4","28.8","30.0","28.0","18.7","18.5"
"20","16.2","15.3","21.5","22.9","24.3","31.6","29.1","27.5","30.0","25.0","21.0","16.0"
"21","17.5","14.1","24.0","21.2","27.0","31.5","30.1","29.1","29.7","21.9","23.0","12.1"
"22","18.5","16.3","26.4","20.8","28.0","30.5","28.8","28.7","30.1","23.7","23.6","11.5"
"23","18.4","18.8","25.1","22.5","21.5","28.1","29.4","28.7","30.2","25.8","22.5","15.0"
"24","11.7","17.3","22.1","21.2","23.7","28.4","30.7","29.5","30.6","26.5","20.4","14.5"
"25","11.4","14.2","19.7","20.0","25.2","29.8","31.0","30.2","29.9","26.3","20.0","14.8"
"26","15.6","13.7","17.0","18.8","28.1","30.3","28.5","31.0","29.7","26.4","20.1","19.1"
"27","12.6","17.4","17.1","22.2","28.0","30.4","29.4","29.4","28.5","24.0","21.5","20.2"
"28","10.1","20.2","18.0","25.1","28.9","30.5","29.2","30.1","29.7","22.0","22.1","19.4"
"29","13.5","--","20.7","26.0","29.3","30.3","29.9","30.8","29.0","22.9","23.5","19.7"
"30","14.7","--","19.1","20.3","28.3","28.4","29.0","30.4","29.0","24.2","20.1","20.0"
"31","16.5","--","18.6","--","27.1","--","29.2","29.4","--","23.9","--","18.7"
"平均","17.0","17.5","20.0","22.6","25.8","28.8","30.4","29.7","29.0","25.3","22.4","18.8"
